Sector,Source,Year,Type,State,"Shell factor (1=2020 res stock, 1=2018 com stock)"
Commercial,,2019,Cooling,Vermont,0.779318269
Commercial,,2019,Heating,Virginia,0.683317257
Commercial,,2019,Cooling,Virginia,0.680798482
Commercial,,2019,Heating,Washington,0.674411262
Commercial,,2019,Cooling,Washington,0.754670941
Commercial,,2019,Heating,West Virginia,0.683317257
Commercial,,2019,Cooling,West Virginia,0.680798482
Commercial,,2019,Heating,Wisconsin,0.647606040
Commercial,,2019,Cooling,Wisconsin,0.814995379
Commercial,,2019,Heating,Wyoming,0.672152122
Commercial,,2019,Cooling,Wyoming,0.743046037
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Alabama,0.711208553
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Arizona,0.780195345
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Arkansas,0.924350252
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,California,0.529742262
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Colorado,0.829421588
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Connecticut,0.587049985
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Delaware,0.899280424
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,District of Columbia,0.855815948
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Florida,0.718991407
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Georgia,0.797466691
